pair,dMSE,DM_MSE_p,DM_MAE_p,Wilcoxon_p,series_t_p,TOST_p,TOST_equivalent,delta,MSE_lag1_correlation,MSE_LjungBox3_p,MSE_HAC1_p,TOST_HAC1_p,MSE_HAC3_p,TOST_HAC3_p,MSE_HAC6_p,TOST_HAC6_p,MSE_seed_diffs,MSE_seed_direction_agrees,MAE_lag1_correlation,MAE_LjungBox3_p,MAE_HAC1_p,MAE_HAC3_p,MAE_HAC6_p,MAE_seed_diffs,MAE_seed_direction_agrees,DM_MSE_p_Holm27,DM_MAE_p_Holm27,Wilcoxon_p_Holm27,series_t_p_Holm27,TOST_p_Holm27,MSE_HAC1_p_Holm27,MSE_HAC3_p_Holm27,MSE_HAC6_p_Holm27,MAE_HAC1_p_Holm27,MAE_HAC3_p_Holm27,MAE_HAC6_p_Holm27,TOST_HAC1_p_Holm27,TOST_HAC3_p_Holm27,TOST_HAC6_p_Holm27,DM_MSE_p_Holm108,DM_MAE_p_Holm108,Wilcoxon_p_Holm108,series_t_p_Holm108
fa_local vs ASA (lstm 3D),-0.08453184366226196,3.4982184189144745e-19,1.0923290014133217e-20,0.0,1.2745936778255214e-43,0.9999999999991837,False,0.042948505282402044,0.993324624108332,3.5321236763369155e-12,4.606126735641434e-16,0.9999999995020673,3.2941693884563416e-13,0.9999998891296332,2.3857211726912304e-11,0.9999972971815654,"[-0.31788742542266846, 0.031431104987859726, 0.03286076337099075]",False,0.9385749525595922,8.885570278699484e-10,1.2106751203641976e-17,6.213422471124238e-15,2.965038404931437e-13,"[0.0832379162311554, -0.0007938608177937567, 0.0035411680582910776]",False,2.7985747351315796e-18,1.5292606019786505e-19,0.0,7.64756206695313e-43,1.0,3.684901388513147e-15,2.6353355107650733e-12,1.6700048208838613e-10,1.6949451685098766e-16,8.698791459573934e-14,3.854549926410868e-12,1.0,1.0,1.0,8.745546047286186e-18,2.949288303815969e-19,0.0,7.775021434735681e-42
fa_local vs ASA (lstm 4D),-0.10233283042907715,6.859263232907583e-34,5.204383550586866e-13,0.0,1.1379566487272877e-40,1.0,False,0.04282689094543457,0.9216742075028717,7.2905220912876495e-09,6.478514607718055e-31,1.0,4.042248191579595e-28,1.0,2.890107610333614e-26,1.0,"[0.025528479367494583, -0.37643957138061523, 0.04391220957040787]",False,0.9423023879129285,4.484533849309823e-10,2.588788048648109e-10,5.208420890144852e-08,1.234488337840051e-06,"[0.008032012730836868, 0.055109549313783646, 0.0007506880792789161]",True,1.4404452789105925e-32,5.204383550586865e-12,0.0,5.689783243636438e-40,1.0,1.3604880676207916e-29,8.488721202317149e-27,6.069225981700589e-25,2.329909243783298e-09,4.6875788011303666e-07,1.1110395040560458e-05,1.0,1.0,1.0,3.223853719466564e-32,8.327013680938985e-12,0.0,6.48635289774554e-39
fa_local vs ASA (transformer 3D),0.030304670333862305,3.229758147091387e-17,2.5411181698786503e-12,0.0,1.5134129477161148e-70,0.00027860396509678416,True,0.03566722869873047,0.9837995311948735,2.0432786008106376e-10,3.0583987499640405e-14,0.003856044630204934,1.3212311730715527e-11,0.019928495886507528,5.259247846696658e-10,0.042107542549299375,"[0.08907263725996017, -0.09879734367132187, 0.10063903033733368]",False,0.49861448595394836,0.0006365736574480095,1.4029251690963415e-10,1.2272692752845366e-08,1.4280760690388897e-07,"[-0.007147914730012417, -0.019105607643723488, 0.007247902452945709]",False,1.6148790735456937e-16,2.287006352890785e-11,0.0,1.3620716529445033e-69,0.005572079301935684,1.5291993749820204e-13,6.606155865357763e-11,2.1036991386786633e-09,1.4029251690963416e-09,1.2272692752845365e-07,1.4280760690388897e-06,0.07712089260409868,0.39856991773015055,0.8421508509859875,6.459516294182775e-16,3.557565437830111e-11,0.0,9.837184160154747e-69
fa_local vs ASA (transformer 4D),-0.24389249086380005,6.747441436350753e-29,4.568548308459511e-31,0.0,6.758578658109895e-182,1.0,False,0.04668536186218262,0.9842166266451683,1.9952108090683586e-10,9.647000885610774e-26,1.0,7.408135993194308e-23,1.0,4.233415723787089e-21,1.0,"[-0.3645094931125641, -0.28217726945877075, -0.084990493953228]",True,0.858063205674308,4.720264972755637e-07,2.846430378704793e-28,1.1390373775086174e-25,7.655902630928018e-24,"[-0.07767168432474136, -0.062382567673921585, -0.04432423412799835]",True,1.3494882872701505e-27,8.68024178607307e-30,0.0,1.419301518203078e-180,1.0,1.929400177122155e-24,1.4075458387069185e-21,7.62014830281676e-20,5.408217719539107e-27,2.164171017266373e-24,1.4546214998763235e-22,1.0,1.0,1.0,2.9013998176308236e-27,2.0101612557221848e-29,0.0,5.271691353325718e-180
fa vs ASA (gru 3D),0.13223451375961304,9.439067347190206e-35,3.501997068368765e-35,0.0,0.0,1.0,False,0.03405773639678955,0.8477194557800383,0.00037728540756069916,3.836289885988312e-32,1.0,3.832141791229553e-30,1.0,7.742441282386978e-30,1.0,"[0.06839536130428314, 0.1210797056555748, 0.20722872018814087]",True,0.7984805425715101,1.1031156012655365e-05,1.6645154477220425e-32,4.4243667662038374e-30,8.497198150390421e-29,"[0.10594701766967773, 0.09645318239927292, 0.12725596129894257]",True,2.1709854898537473e-33,8.054593257248159e-34,0.0,0.0,1.0,8.823466737773118e-31,8.813926119827972e-29,1.780761494949005e-28,3.8283855297606975e-31,9.733606885648442e-29,1.9543555745897968e-27,1.0,1.0,1.0,4.813924347067005e-33,1.821038475551758e-33,0.0,0.0
fa vs ASA (gru 4D),0.1418582797050476,2.49353457147907e-28,1.0932639769172333e-34,0.0,1.97112561300759e-283,1.0,False,0.03414307832717896,0.9493743064621187,6.695415773433946e-11,3.8274226699198845e-25,1.0,3.16106114428081e-22,1.0,2.3075451416017464e-20,1.0,"[0.20633332431316376, 0.12168926745653152, 0.09755174815654755]",True,0.7648129917932028,1.7652378030238104e-05,5.142984554740512e-32,1.2219254324474909e-29,3.2851704120904307e-28,"[0.009380416944622993, 0.1348358541727066, 0.11030049622058868]",True,4.737715685810233e-27,2.345424333448159e-33,0.0,4.7307014712182165e-282,1.0,7.27210307284778e-24,5.689910059705458e-21,3.922826740722969e-19,1.1314566020429126e-30,2.566043408139731e-28,6.898857865389904e-27,1.0,1.0,1.0,1.0472845200212095e-26,5.3569934868944435e-33,0.0,1.596611746536148e-281
fa vs ASA (lstm 3D),0.0111769437789917,3.563134361793757e-26,0.13671517658360804,4.110812489798775e-94,2.7514463860574262e-76,7.007228481898726e-37,True,0.042948505282402044,0.3703422147193195,0.33321642479819874,1.0960691822794569e-24,2.2083628345622363e-35,5.693855758101528e-24,1.1639609394934966e-34,9.436946139359175e-24,1.938584458058795e-34,"[0.017678864300251007, 0.0015418055700138211, 0.0143102016299963]",True,0.3717593422326011,0.28668866808866716,0.1995611129231097,0.2404907167806187,0.2542418246057842,"[0.0027349211741238832, -0.0011469641467556357, 0.0009186464594677091]",False,6.413641851228762e-25,0.29319964826416917,1.2332437469396325e-93,3.3017356632689114e-75,1.7518071204746815e-35,1.9729245281030223e-23,1.1387711516203056e-22,1.887389227871835e-22,0.41135572966345885,0.4809814335612374,0.5084836492115684,5.520907086405591e-34,3.026298442683091e-33,4.8464611451469875e-33,1.4608850883354402e-24,0.41014552975082413,2.9597849926551182e-92,1.8709835425190498e-74
fa vs ASA (lstm 4D),0.008626401424407959,2.8300024198330675e-24,2.447561663689234e-21,0.0,2.3245635786094668e-31,2.7490765723837993e-38,True,0.04282689094543457,0.7325307975245539,0.002098890346106213,9.101505976249107e-22,9.49668517094067e-36,2.496320898439016e-20,2.7679843981747095e-34,1.0323076144069303e-21,1.0792873504494677e-35,"[-0.013470809906721115, 0.026168707758188248, 0.01318092830479145]",False,0.6350426958883538,0.004485819414790596,5.687045082833669e-19,1.32738725246091e-17,2.854667701413084e-19,"[-0.030810419470071793, -0.01909775100648403, 0.0009501844178885221]",False,4.245003629749601e-23,3.6713424955338514e-20,0.0,9.298254314437867e-31,7.1475990881978784e-37,1.4562409561998572e-20,4.243745527346327e-19,1.9613844673731677e-20,9.005021275008056e-18,2.256558329183547e-16,4.852935092402243e-18,2.469138144444574e-34,6.919960995436774e-33,2.806147111168616e-34,1.047100895338235e-22,7.097928824698778e-20,0.0,1.04605361037426e-29
fa vs ASA (transformer 3D),0.04905235767364502,2.2556144368076584e-21,5.588206359631039e-18,0.0,5.2411294819098933e-76,0.9999999989494354,False,0.03566722869873047,0.9920693502864368,4.759006518430805e-11,2.8326462759093483e-18,0.9999997492866187,1.99683323267524e-15,0.9999823505976164,1.4603546446881555e-13,0.9998209491813387,"[0.14142002165317535, -0.05095667392015457, 0.05669360235333443]",False,0.5243661739507046,0.00013246701387594544,5.28561356793082e-16,1.2923818071381323e-13,3.237886959081059e-12,"[-0.000796862062998116, -0.011347556486725807, -0.005138928070664406]",True,2.2556144368076584e-20,6.705847631557246e-17,0.0,5.765242430100882e-75,1.0,2.832646275909348e-17,1.797149909407716e-14,1.31431918021934e-12,6.342736281516984e-15,1.550858168565759e-12,3.885464350897271e-11,1.0,1.0,1.0,6.766843310422975e-20,1.1735233355225182e-16,0.0,3.5115567528796286e-74
fa vs ASA (transformer 4D),-0.14599734544754028,1.1444885461512664e-22,1.37494883734379e-21,0.0,2.061135524522588e-208,1.0,False,0.04668536186218262,0.9860361332516603,1.2841537837284746e-10,1.5213863233159632e-19,0.9999999999999996,1.025687802267298e-16,0.9999999999997998,5.675705663037685e-15,0.9999999999912724,"[-0.2985877990722656, -0.1696585714817047, 0.030254174023866653]",False,0.7573417360942717,1.1491936847540263e-05,5.628138296880035e-19,1.2518539296095567e-16,2.0783204064459786e-15,"[-0.04782804846763611, -0.05151635408401489, -0.02903067134320736]",True,1.4878351099966463e-21,2.337413023484443e-20,0.0,4.5344981539496935e-207,1.0,1.9778022203107523e-18,1.2308253627207576e-15,6.243276229341453e-14,9.005021275008056e-18,1.8777808944143352e-15,3.117480609668968e-14,1.0,1.0,1.0,4.005709911529432e-21,4.537331163234507e-20,0.0,1.6282970643728445e-206
S4 flat vs persistence,0.0071602463722229,1.1742166824117245e-09,0.5293181845651411,0.0,2.0888838857717233e-12,0.9999981016007718,False,0.002744580060243607,0.6785266383361567,0.024842235696213237,6.360376652742728e-08,0.9999636146424208,2.411071310856197e-07,0.999908059559914,3.7902317501826737e-07,0.9998749442639722,"[-0.01622956618666649, 0.034748781472444534, 0.0029615210369229317]",False,0.45481120726522384,0.09227161471945022,0.5966285344791635,0.5990269095130807,0.5756214729109497,"[-0.014328498393297195, 0.01204993762075901, 0.0036015447694808245]",False,2.348433364823449e-09,0.5293181845651411,0.0,4.177767771543447e-12,1.0,1.2720753305485455e-07,4.2324225861567787e-07,3.7902317501826737e-07,0.5966285344791635,0.5990269095130807,0.5756214729109497,1.0,1.0,1.0,1.5264816871352417e-08,0.5293181845651411,0.0,3.133325828657585e-11
S4ND-4D vs persistence,-0.0039024949073791504,2.2459599338719084e-08,0.0977332160880564,0.0,9.887333813922946e-06,0.9891804399232541,False,0.002744580060243607,0.3596610961953224,0.1841165038312242,2.8129908254823346e-07,0.9775051211945704,2.1162112930783894e-07,0.9791849058235376,8.469688523655552e-08,0.9839149160429905,"[0.006753268651664257, -0.014012808911502361, -0.004447943065315485]",False,0.2602957777235571,0.40850520649240973,0.13711857655448628,0.13132796981674477,0.09298895237367255,"[-0.00016057584434747696, -0.009705482050776482, 0.006241971626877785]",False,2.2459599338719084e-08,0.29319964826416917,0.0,9.887333813922946e-06,1.0,2.8129908254823346e-07,4.2324225861567787e-07,1.6939377047311105e-07,0.41135572966345885,0.3939839094502343,0.3719558094946902,1.0,1.0,1.0,2.69515192064629e-07,0.3909328643522256,0.0,8.898600432530652e-05
