model,variant,enc,params,flops_per_forecast,flops_fwd_total,n_forecasts,peak_mem_GB,analytic_rnn_topup,analytic_fft_topup,analytic_ssd_topup,analytic_attn_topup,one_time_setup_flops,param_only_uncounted,blind_modules,status,local_flops_per_forecast,local_vs_box
mamba2,aca_3d,onehot,581474,47553827.761890516,1430752015872,30087,44.948,0,0,383758000128,0,0,,,ok,,
mamba2,aca_3d_id,embeddings,755174,47553827.761890516,1430752015872,30087,44.950,0,0,383758000128,0,0,,,ok,,
mamba2,aca_3d_id,onehot,755170,47553827.761890516,1430752015872,30087,44.949,0,0,383758000128,0,0,,,ok,,
mamba2,aca_4d,embeddings,630114,49014453.03021239,1474697848320,30087,45.835,0,0,383758000128,0,0,,,ok,,
mamba2,aca_4d,onehot,630114,49014453.03021239,1474697848320,30087,45.834,0,0,383758000128,0,0,,,ok,,
mamba2,aca_4d_id,embeddings,804066,49014453.03021239,1474697848320,30087,45.834,0,0,383758000128,0,0,,,ok,,
mamba2,aca_4d_id,onehot,804066,49014453.03021239,1474697848320,30087,45.834,0,0,383758000128,0,0,,,ok,,
mamba2,asa_2d,embeddings,673038,53609384.54801077,1612945552896,30087,47.984,0,0,383758000128,0,0,,,ok,,
mamba2,asa_2d,onehot,876130,76741544.54801077,2308922850816,30087,53.572,0,0,383758000128,0,0,,,ok,,
mamba2,asa_2d_id,embeddings,674830,53609384.54801077,1612945552896,30087,47.985,0,0,383758000128,0,0,,,ok,,
mamba2,asa_2d_id,onehot,877922,76741544.54801077,2308922850816,30087,53.572,0,0,383758000128,0,0,,,ok,,
mamba2,asa_3d,embeddings,581734,87349301.75770266,2628078441984,30087,58.342,0,0,383758000128,0,0,,,ok,,
mamba2,asa_3d,onehot,581730,87349301.75770266,2628078441984,30087,58.341,0,0,383758000128,0,0,,,ok,,
mamba2,asa_3d_id,embeddings,755430,87349301.75770266,2628078441984,30087,58.344,0,0,383758000128,0,0,,,ok,,
mamba2,asa_3d_id,onehot,755426,87349301.75770266,2628078441984,30087,58.343,0,0,383758000128,0,0,,,ok,,
mamba2,asa_4d,embeddings,630626,91781633.22524679,2761433998848,30087,61.673,0,0,383758000128,0,0,,,ok,,
mamba2,asa_4d,onehot,630626,91781633.22524679,2761433998848,30087,61.673,0,0,383758000128,0,0,,,ok,,
mamba2,asa_4d_id,embeddings,804578,91781633.22524679,2761433998848,30087,61.674,0,0,383758000128,0,0,,,ok,,
mamba2,asa_4d_id,onehot,804578,91781633.22524679,2761433998848,30087,61.673,0,0,383758000128,0,0,,,ok,,
mamba2,embeddings,aggregate,489155,47711744.0,1145081856,24,0.078,0,0,306118656,0,0,,,ok,,
mamba2,embeddings,embeddings,608240,47776256.0,97845772288,2048,3.556,0,0,26122125312,0,0,,,ok,,
mamba2,fa_2d,embeddings,1181326,88837057.66556984,2672840553984,30087,58.326,0,0,383758000128,0,0,,,ok,,
mamba2,fa_2d,onehot,1384418,111969217.66556984,3368817851904,30087,63.914,0,0,383758000128,0,0,,,ok,,
mamba2,fa_2d_id,embeddings,1183118,88837057.66556984,2672840553984,30087,58.326,0,0,383758000128,0,0,,,ok,,
mamba2,fa_2d_id,onehot,1386210,111969217.66556984,3368817851904,30087,63.914,0,0,383758000128,0,0,,,ok,,
mamba2,fa_3d,embeddings,1172070,105632372.3984445,3178161188352,30087,61.824,0,0,383758000128,0,0,,,ok,,
mamba2,fa_3d,onehot,1172066,105632372.3984445,3178161188352,30087,61.823,0,0,383758000128,0,0,,,ok,,
mamba2,fa_3d_id,embeddings,1345766,105632372.3984445,3178161188352,30087,61.824,0,0,383758000128,0,0,,,ok,,
mamba2,fa_3d_id,onehot,1345762,105632372.3984445,3178161188352,30087,61.824,0,0,383758000128,0,0,,,ok,,
mamba2,fa_4d,embeddings,1303010,107093470.61202513,3222121250304,30087,63.053,0,0,383758000128,0,0,,,ok,,
mamba2,fa_4d,onehot,1303010,107093470.61202513,3222121250304,30087,63.052,0,0,383758000128,0,0,,,ok,,
mamba2,fa_4d_id,embeddings,1476962,107093470.61202513,3222121250304,30087,63.053,0,0,383758000128,0,0,,,ok,,
mamba2,fa_4d_id,onehot,1476962,107093470.61202513,3222121250304,30087,63.053,0,0,383758000128,0,0,,,ok,,
mamba2,onehot,onehot,651490,59406848.0,121665224704,2048,3.927,0,0,26122125312,0,0,,,ok,,
mamba3,aca_2d,embeddings,685294,54443234.82381095,1638033606144,30087,51.189,0,0,523508023296,0,0,,,ok,,
mamba3,aca_2d,onehot,888386,77575394.82381095,2334010904064,30087,56.777,0,0,523508023296,0,0,,,ok,,
mamba3,aca_2d_id,embeddings,687086,54443234.82381095,1638033606144,30087,51.189,0,0,523508023296,0,0,,,ok,,
mamba3,aca_2d_id,onehot,890178,77575394.82381095,2334010904064,30087,56.778,0,0,523508023296,0,0,,,ok,,
mamba3,aca_3d,embeddings,593734,52899107.761890516,1591575455232,30087,50.852,0,0,523508023296,0,0,,,ok,,
mamba3,aca_3d,onehot,593730,52899107.761890516,1591575455232,30087,50.851,0,0,523508023296,0,0,,,ok,,
mamba3,aca_3d_id,embeddings,767430,52899107.761890516,1591575455232,30087,50.853,0,0,523508023296,0,0,,,ok,,
mamba3,aca_3d_id,onehot,767426,52899107.761890516,1591575455232,30087,50.853,0,0,523508023296,0,0,,,ok,,
mamba3,aca_4d,embeddings,642370,54359733.03021239,1635521287680,30087,51.734,0,0,523508023296,0,0,,,ok,,
mamba3,aca_4d,onehot,642370,54359733.03021239,1635521287680,30087,51.734,0,0,523508023296,0,0,,,ok,,
mamba3,aca_4d_id,embeddings,816322,54359733.03021239,1635521287680,30087,51.737,0,0,523508023296,0,0,,,ok,,
mamba3,aca_4d_id,onehot,816322,54359733.03021239,1635521287680,30087,51.736,0,0,523508023296,0,0,,,ok,,
mamba3,asa_2d,embeddings,685294,58954664.54801077,1773768992256,30087,53.885,0,0,523508023296,0,0,,,ok,,
mamba3,asa_2d,onehot,888386,82086824.54801077,2469746290176,30087,59.473,0,0,523508023296,0,0,,,ok,,
mamba3,asa_2d_id,embeddings,687086,58954664.54801077,1773768992256,30087,53.885,0,0,523508023296,0,0,,,ok,,
mamba3,asa_2d_id,onehot,890178,82086824.54801077,2469746290176,30087,59.472,0,0,523508023296,0,0,,,ok,,
mamba3,asa_3d,embeddings,593990,92694581.75770266,2788901881344,30087,64.246,0,0,523508023296,0,0,,,ok,,
