model,variant,enc,params,flops_per_forecast,flops_fwd_total,n_forecasts,peak_mem_GB,analytic_rnn_topup,analytic_fft_topup,analytic_ssd_topup,analytic_attn_topup,one_time_setup_flops,param_only_uncounted,blind_modules,status,local_flops_per_forecast,local_vs_box
s4nd,grid_3d,onehot,565762,11866613.227108054,357030792164,30087,52.347,0,169318027748,,,8372322304,layers.0.kernels.0:SSMKernelDPLR;layers.0.kernels.1:SSMKernelDPLR;layers.0.kernels.2:SSMKernelDPLR;layers.1.kernels.0:SSMKernelDPLR;layers.1.kernels.1:SSMKernelDPLR;layers.1.kernels.2:SSMKernelDPLR;layers.2.kernels.0:SSMKernelDPLR;layers.2.kernels.1:SSMKernelDPLR;layers.2.kernels.2:SSMKernelDPLR;layers.3.kernels.0:SSMKernelDPLR;layers.3.kernels.1:SSMKernelDPLR;layers.3.kernels.2:SSMKernelDPLR,,ok,,
s4nd,grid_4d,embeddings,729858,12516256.838235782,376576619492,30087,66.069,0,189418418660,,,8926134272,layers.0.kernels.0:SSMKernelDPLR;layers.0.kernels.1:SSMKernelDPLR;layers.0.kernels.2:SSMKernelDPLR;layers.0.kernels.3:SSMKernelDPLR;layers.1.kernels.0:SSMKernelDPLR;layers.1.kernels.1:SSMKernelDPLR;layers.1.kernels.2:SSMKernelDPLR;layers.1.kernels.3:SSMKernelDPLR;layers.2.kernels.0:SSMKernelDPLR;layers.2.kernels.1:SSMKernelDPLR;layers.2.kernels.2:SSMKernelDPLR;layers.2.kernels.3:SSMKernelDPLR;layers.3.kernels.0:SSMKernelDPLR;layers.3.kernels.1:SSMKernelDPLR;layers.3.kernels.2:SSMKernelDPLR;layers.3.kernels.3:SSMKernelDPLR,,ok,12516257,same
s4nd,grid_4d,onehot,729858,12516256.838235782,376576619492,30087,66.064,0,189418418660,,,8926134272,layers.0.kernels.0:SSMKernelDPLR;layers.0.kernels.1:SSMKernelDPLR;layers.0.kernels.2:SSMKernelDPLR;layers.0.kernels.3:SSMKernelDPLR;layers.1.kernels.0:SSMKernelDPLR;layers.1.kernels.1:SSMKernelDPLR;layers.1.kernels.2:SSMKernelDPLR;layers.1.kernels.3:SSMKernelDPLR;layers.2.kernels.0:SSMKernelDPLR;layers.2.kernels.1:SSMKernelDPLR;layers.2.kernels.2:SSMKernelDPLR;layers.2.kernels.3:SSMKernelDPLR;layers.3.kernels.0:SSMKernelDPLR;layers.3.kernels.1:SSMKernelDPLR;layers.3.kernels.2:SSMKernelDPLR;layers.3.kernels.3:SSMKernelDPLR,,ok,,
transformer,aca_2d,embeddings,1001582,61832162.82381095,1860344282880,30087,41.306,0,0,,,0,,,ok,61832163,same
transformer,aca_2d,onehot,1204674,84964322.82381095,2556321580800,30087,46.895,0,0,,,0,,,ok,,
transformer,aca_2d_id,embeddings,1003374,61832162.82381095,1860344282880,30087,41.323,0,0,,,0,,,ok,,
transformer,aca_2d_id,onehot,1206466,84964322.82381095,2556321580800,30087,46.912,0,0,,,0,,,ok,,
transformer,aca_3d,embeddings,910022,60288035.761890516,1813886131968,30087,40.971,0,0,,,0,,,ok,60288036,same
transformer,aca_3d,onehot,910018,60288035.761890516,1813886131968,30087,40.970,0,0,,,0,,,ok,,
transformer,aca_3d_id,embeddings,1083718,60288035.761890516,1813886131968,30087,40.972,0,0,,,0,,,ok,,
transformer,aca_3d_id,onehot,1083714,60288035.761890516,1813886131968,30087,40.988,0,0,,,0,,,ok,,
transformer,aca_4d,embeddings,958658,61748661.03021239,1857831964416,30087,41.857,0,0,,,0,,,ok,61748661,same
transformer,aca_4d,onehot,958658,61748661.03021239,1857831964416,30087,41.856,0,0,,,0,,,ok,,
transformer,aca_4d_id,embeddings,1132610,61748661.03021239,1857831964416,30087,41.858,0,0,,,0,,,ok,,
transformer,aca_4d_id,onehot,1132610,61748661.03021239,1857831964416,30087,41.857,0,0,,,0,,,ok,,
transformer,asa_2d,embeddings,1001582,66343592.54801077,1996079668992,30087,44.004,0,0,,,0,,,ok,66343593,same
transformer,asa_2d,onehot,1204674,89475752.54801077,2692056966912,30087,49.593,0,0,,,0,,,ok,,
transformer,asa_2d_id,embeddings,1003374,66343592.54801077,1996079668992,30087,44.021,0,0,,,0,,,ok,,
transformer,asa_2d_id,onehot,1206466,89475752.54801077,2692056966912,30087,49.610,0,0,,,0,,,ok,,
transformer,asa_3d,embeddings,910278,100083509.75770266,3011212558080,30087,54.366,0,0,,,0,,,ok,100083510,same
transformer,asa_3d,onehot,910274,100083509.75770266,3011212558080,30087,54.365,0,0,,,0,,,ok,,
transformer,asa_3d_id,embeddings,1083974,100083509.75770266,3011212558080,30087,54.384,0,0,,,0,,,ok,,
transformer,asa_3d_id,onehot,1083970,100083509.75770266,3011212558080,30087,54.384,0,0,,,0,,,ok,,
transformer,asa_4d,embeddings,959170,104515841.22524679,3144568114944,30087,57.695,0,0,,,0,,,ok,104515841,same
transformer,asa_4d,onehot,959170,104515841.22524679,3144568114944,30087,57.694,0,0,,,0,,,ok,,
transformer,asa_4d_id,embeddings,1133122,104515841.22524679,3144568114944,30087,57.713,0,0,,,0,,,ok,,
transformer,asa_4d_id,onehot,1133122,104515841.22524679,3144568114944,30087,57.712,0,0,,,0,,,ok,,
