run,MSE,MAE,RMSE
gru_asa_2d_embeddings_s619,0.6644390821456909,0.23540620505809784,0.8151313066482544
gru_asa_2d_embeddings_s732,0.6640568375587463,0.243062824010849,0.814896821975708
gru_asa_2d_embeddings_s947,0.6874461770057678,0.24350722134113312,0.8291237354278564
gru_asa_3d_embeddings_s619,0.698381245136261,0.2396842986345291,0.8356920480728149
gru_asa_3d_embeddings_s732,0.6837146282196045,0.24826356768608093,0.8268703818321228
gru_asa_3d_embeddings_s947,0.6613680720329285,0.23785752058029175,0.813245415687561
gru_asa_4d_embeddings_s619,0.6790029406547546,0.23199211061000824,0.8240163326263428
gru_asa_4d_embeddings_s732,0.6762292981147766,0.23560039699077606,0.8223316073417664
gru_asa_4d_embeddings_s947,0.6933528780937195,0.247181236743927,0.8326781392097473
gru_fa_2d_embeddings_s619,0.9219883680343628,0.37637391686439514,0.9602022767066956
gru_fa_2d_embeddings_s732,0.7988418936729431,0.3475818634033203,0.8937795758247375
gru_fa_2d_embeddings_s947,0.786362886428833,0.34462088346481323,0.886771023273468
gru_fa_3d_embeddings_s619,0.9056098461151123,0.36694034934043884,0.9516353607177734
gru_fa_3d_embeddings_s732,0.8047943711280823,0.34471672773361206,0.8971033096313477
gru_fa_3d_embeddings_s947,0.729763388633728,0.34380438923835754,0.8542618751525879
gru_fa_4d_embeddings_s619,0.7765545845031738,0.3422927260398865,0.8812233209609985
gru_fa_4d_embeddings_s732,0.7979186177253723,0.37043625116348267,0.8932629227638245
gru_fa_4d_embeddings_s947,0.8996861577033997,0.2565615773200989,0.9485178589820862
gru_fa_local_2d_embeddings_s619,0.6368083953857422,0.22622422873973846,0.7980027794837952
gru_fa_local_2d_embeddings_s732,0.6353271007537842,0.22775165736675262,0.7970740795135498
gru_fa_local_2d_embeddings_s947,0.665123462677002,0.22942055761814117,0.8155510425567627
gru_fa_local_3d_embeddings_s619,0.6782646775245667,0.22776105999946594,0.8235682845115662
gru_fa_local_3d_embeddings_s732,0.7026854157447815,0.24364204704761505,0.8382633328437805
gru_fa_local_3d_embeddings_s947,0.6695658564567566,0.23028598725795746,0.8182700276374817
gru_fa_local_4d_embeddings_s619,0.6778654456138611,0.2275494784116745,0.8233258724212646
gru_fa_local_4d_embeddings_s732,0.6805709004402161,0.2387154996395111,0.8249672055244446
gru_fa_local_4d_embeddings_s947,0.708905041217804,0.2399197220802307,0.8419649600982666
gru_fa_sm_2d_embeddings_s619,0.6673492193222046,0.24279701709747314,0.816914439201355
gru_fa_sm_2d_embeddings_s732,0.6944806575775146,0.24079546332359314,0.8333550691604614
gru_fa_sm_2d_embeddings_s947,0.7278936505317688,0.24212409555912018,0.8531668186187744
gru_fa_sm_3d_embeddings_s619,0.7819180488586426,0.24554243683815002,0.8842613101005554
gru_fa_sm_3d_embeddings_s732,0.7142669558525085,0.24538497626781464,0.8451431393623352
gru_fa_sm_3d_embeddings_s947,0.7345395684242249,0.24531298875808716,0.8570528626441956
gru_fa_sm_4d_embeddings_s619,0.7312532663345337,0.2599808871746063,0.8551334738731384
gru_fa_sm_4d_embeddings_s732,0.7120301127433777,0.27095726132392883,0.8438187837600708
gru_fa_sm_4d_embeddings_s947,0.7323379516601562,0.24338266253471375,0.8557674884796143
lstm_asa_3d_embeddings_s619,0.8576472997665405,0.24992035329341888,0.9260925054550171
lstm_asa_3d_embeddings_s732,0.8637141585350037,0.2511586546897888,0.9293622374534607
lstm_asa_3d_embeddings_s947,0.8555489182472229,0.24813096225261688,0.9249588847160339
lstm_asa_4d_embeddings_s619,0.8517058491706848,0.25152528285980225,0.9228790998458862
lstm_asa_4d_embeddings_s732,0.8414934277534485,0.2687930762767792,0.9173294901847839
lstm_asa_4d_embeddings_s947,0.8764147162437439,0.28089284896850586,0.936170220375061
lstm_fa_3d_embeddings_s619,0.8719577193260193,0.2508389949798584,0.9337867498397827
lstm_fa_3d_embeddings_s732,0.8652558326721191,0.25001174211502075,0.9301912784576416
lstm_fa_3d_embeddings_s947,0.8732278943061829,0.2508658170700073,0.9344666600227356
lstm_fa_4d_embeddings_s619,0.8648867011070251,0.2524755001068115,0.9299928545951843
lstm_fa_4d_embeddings_s732,0.8676620721817017,0.2496953308582306,0.931483805179596
lstm_fa_4d_embeddings_s947,0.8629438281059265,0.25008249282836914,0.9289476871490479
lstm_fa_local_2d_embeddings_s619,0.8670414686203003,0.2473539263010025,0.9311506152153015
lstm_fa_local_2d_embeddings_s732,0.8710094094276428,0.2477116882801056,0.9332788586616516
lstm_fa_local_2d_embeddings_s947,0.8870869278907776,0.2554396986961365,0.9418529272079468
lstm_fa_local_3d_embeddings_s619,0.8905078768730164,0.2534615397453308,0.9436672329902649
lstm_fa_local_3d_embeddings_s732,0.8951451182365417,0.250364750623703,0.946121096611023
lstm_fa_local_3d_embeddings_s947,0.5376616716384888,0.3313688635826111,0.7332541942596436
lstm_fa_local_4d_embeddings_s619,0.8956177830696106,0.2522760331630707,0.9463708400726318
lstm_fa_local_4d_embeddings_s732,0.46505382657051086,0.3239026367664337,0.6819485425949097
lstm_fa_local_4d_embeddings_s947,0.9019431471824646,0.2889248728752136,0.9497068524360657
lstm_fa_sm_2d_embeddings_s619,0.8505104184150696,0.2490352839231491,0.9222311973571777
lstm_fa_sm_2d_embeddings_s732,0.8471680283546448,0.24502019584178925,0.920417308807373
lstm_fa_sm_2d_embeddings_s947,0.8513042330741882,0.2452579289674759,0.9226614832878113
