panel,model,variant,enc,n,MSE,MSE_std,MAE,RMSE,sMAPE,MASE,val_loss
series,gru,asa_2d,embeddings,3,0.6719806827982486,0.010936849882162727,0.24065874861870892,0.8197172885322663,69.9841685184336,1.6258334879495544,0.7588489709628953
series,gru,asa_2d,onehot,3,0.6560615495495218,0.004519909675672182,0.23987304273819401,0.8099714691648359,70.6163943894533,1.6279818521719556,0.7440838317076365
series,gru,asa_3d,embeddings,3,0.6811547131570963,0.01521863001164422,0.24193509506638178,0.8252693230313038,69.64639473355484,1.636232251142595,0.7631900095277362
series,gru,asa_3d,onehot,3,0.6744389138646447,0.00993307886280304,0.23710891714486926,0.8212201114943977,68.57145262169225,1.5971443279009112,0.7551840005649462
series,gru,asa_4d,embeddings,3,0.6828617053689213,0.007504342871618592,0.23825790599274724,0.8263420351190599,68.57568464763953,1.6059015989972878,0.7562237232923508
series,gru,asa_4d,onehot,3,0.6828617053689213,0.007504342871618592,0.23825790599274724,0.8263420351190599,68.57568464763953,1.6059015989972878,0.7562237232923508
series,gru,embeddings,embeddings,3,0.6852146670095501,0.005222544551333408,0.22183821796064895,0.8277709366586944,62.2939900426281,1.473912793457816,0.7152915994007101
series,gru,fa_2d,embeddings,3,0.8357311008715342,0.06120551481244006,0.35619218796393265,0.9135843132478226,94.41249331234474,2.654676173716233,0.880673575732443
series,gru,fa_2d,onehot,3,0.8155801630880811,0.07019514774722692,0.35073866316069574,0.9022808527137957,92.56472636589199,2.583831717209279,0.8362870977984533
series,gru,fa_3d,embeddings,3,0.8133892922495821,0.07204585149984329,0.351820495287116,0.9010002401226966,94.56727135316972,2.6192764391589374,0.8749933540821075
series,gru,fa_3d,onehot,3,0.8527682698582669,0.04060616768699527,0.31935238797950966,0.9231969422879551,83.89267894476173,2.3058890402549457,0.8686880767345428
series,gru,fa_4d,embeddings,3,0.8247198188906274,0.05372197767591826,0.3230968299016377,0.9076680590523196,84.7749542984924,2.3541757302855078,0.8870604890916084
