panel,model,variant,enc,n,MSE,MSE_std,MAE,RMSE,sMAPE,MASE,val_loss
aggregate,gru,embeddings,aggregate,3,0.008026835296685382,0.0013236538621150965,0.07469866942200395,0.08927534258533869,7.4607413311963136,1.065741518316674,0.006601163186132908
aggregate,lstm,embeddings,aggregate,3,0.0031904141447824754,0.0013390806090146528,0.04142300929460261,0.05529580640062883,4.139233259594623,0.611632340136338,0.004139974946156144
aggregate,mamba2,embeddings,aggregate,3,0.00666224677081455,0.0023786480257556248,0.06442452025496298,0.08024338072519695,6.434552245220549,0.9557611286234317,0.0064316680654883385
aggregate,mamba3,embeddings,aggregate,3,0.014364083708458602,0.006944061513478355,0.10030150754998128,0.11601547793851863,10.009250490644177,1.5127845030805769,0.009095201424012581
aggregate,s4,embeddings,aggregate,3,0.003996982234226263,0.000675757001188073,0.0491229577196969,0.06298265474818485,4.908309361049164,0.7410372390033926,0.0036638430319726467
aggregate,transformer,embeddings,aggregate,3,0.020266221982137463,0.007492096425221368,0.11849886861940225,0.1398866290742124,11.815091504122906,1.6292675387619655,0.013054615197082361
aggregate_rolling,gru,aggregate_roll_y2020,aggregate,3,0.011828194334110309,0.00043353710099947057,0.07772719860076904,0.10873945217980306,7.751530514698705,1.385804310096166,0.001598470068226258
aggregate_rolling,gru,aggregate_roll_y2021,aggregate,3,0.02776190722524567,0.004288313406098313,0.1513002159901791,0.16608928387799146,15.083283685514573,3.034805460953025,0.007495889440178871
aggregate_rolling,gru,aggregate_roll_y2022,aggregate,3,0.021851268827553283,0.004027889835369477,0.11566809937357903,0.14714105900340876,11.526341527267709,1.9585846341095674,0.008615003743519386
aggregate_rolling,gru,aggregate_roll_y2023,aggregate,3,0.006928410139666423,0.0030547004471201834,0.06481599724955028,0.08063739398815824,6.474112876229683,0.8885684296029422,0.017145171761512756
aggregate_rolling,gru,aggregate_roll_y2024,aggregate,3,0.006449549492089374,0.0029075048926246487,0.0632038956715001,0.07775507171535635,6.313700078588073,0.8069169788460607,0.0035837176255881786
aggregate_rolling,gru,aggregate_roll_y2025,aggregate,3,0.007863913641314139,0.0026912867899563315,0.06274976250198151,0.0871461666696059,6.26422600258412,0.822545714830278,0.003847752930596471
aggregate_rolling,lstm,aggregate_roll_y2020,aggregate,3,0.00977352336936327,0.0009303630976485068,0.06921312523384889,0.09875236199180802,6.904152855968523,1.2313231698436613,0.0022288525942713022
aggregate_rolling,lstm,aggregate_roll_y2021,aggregate,3,0.026399499745895148,0.0028075029527508534,0.14405964221805334,0.1622418815263638,14.36034643696811,2.8718571044673133,0.006665443846335013
aggregate_rolling,lstm,aggregate_roll_y2022,aggregate,3,0.008384388944133268,0.003255637654229382,0.07049041820896997,0.08964834302885616,7.038696428863843,1.2201803572965702,0.006378458502391974
aggregate_rolling,lstm,aggregate_roll_y2023,aggregate,3,0.003489810524397983,0.0013602901845049876,0.04757526309953796,0.05774641139014944,4.754844711618127,0.7357312423466702,0.00479013907412688
aggregate_rolling,lstm,aggregate_roll_y2024,aggregate,3,0.015214651566412095,0.008234864927632231,0.10518400536643135,0.11681706795022599,10.49678454524782,1.4255372899752559,0.008840406546369195
aggregate_rolling,lstm,aggregate_roll_y2025,aggregate,3,0.009484263210969452,0.008090168033682581,0.07176892086863518,0.08903045519635992,7.162747649706123,1.0130945126824487,0.005079969162276636
aggregate_rolling,mamba2,aggregate_roll_y2020,aggregate,3,0.014505993129667544,0.0023997124254943117,0.08792174767909779,0.12001572173519352,8.764986878080167,1.580250276483701,0.0025011409694949784
aggregate_rolling,mamba2,aggregate_roll_y2021,aggregate,3,0.02209745559399842,0.008636828584045832,0.12589573205655646,0.14604638397135333,12.54972072361249,2.547772718800152,0.012562516145408154
aggregate_rolling,mamba2,aggregate_roll_y2022,aggregate,3,0.01875731399737188,0.00272948084826543,0.10962922622760136,0.13657800944715534,10.930878232180591,1.8883543272697247,0.007777782777945201
