panel,model,variant,enc,n,MSE,MSE_std,MAE,RMSE,sMAPE,MASE
aggregate_rolling,gru,aggregate_roll_pooled,aggregate,3,0.013780540609996533,0.0018402350253293614,0.08924419489792652,0.11712628447472291,8.902199114147145,1.4828709214063398
aggregate_rolling,lstm,aggregate_roll_pooled,aggregate,3,0.012124356226861867,0.001689233074024901,0.08471522916591277,0.10982803324607572,8.452928771395426,1.4162872794353198
aggregate_rolling,mamba2,aggregate_roll_pooled,aggregate,3,0.010930391965609123,0.0015927466667392041,0.0761851461785328,0.10428082446207576,7.60052936526547,1.3424154506604253
aggregate_rolling,mamba3,aggregate_roll_pooled,aggregate,3,0.009234421165232253,0.001106801342507589,0.07053181504899705,0.09592950459507658,7.039646581401834,1.2194206644222094
aggregate_rolling,moving_average,aggregate_roll_pooled,aggregate,1,0.005431271242548951,0.0,0.053998200067629426,0.073697158985601,5.3933415837647685,0.941008729349095
aggregate_rolling,random_walk,aggregate_roll_pooled,aggregate,1,0.004015615640758662,0.0,0.045783163255287536,0.06336888543093261,4.5739842284883245,0.791973863711919
aggregate_rolling,s4,aggregate_roll_pooled,aggregate,3,0.010796690170448457,0.001026691716533381,0.08111928187793603,0.10378936049351965,8.09624851846379,1.387949928298587
aggregate_rolling,seasonal_naive,aggregate_roll_pooled,aggregate,1,0.011501063882879555,0.0,0.07443169752756755,0.10724301321242123,7.422250068990326,1.2970460086476845
aggregate_rolling,transformer,aggregate_roll_pooled,aggregate,3,0.016456006223809893,0.0008048325019925341,0.10303819270942499,0.12824243728748064,10.277032519468435,1.6997757053334521
